id,condition,title,buying_mode,price,original_price,sale_amount,sale_type,available_quantity,accepts_mercadopago,use_thumbnail_id,health,Seller_City,Seller_state
MLB1671331052,new,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,buy_it_now,137.9,229.9,137.9,promotion,500,True,True,1.0,,
MLB3889667897,new,Tênis Under Armour Charged Great Color Modgray/beta/black - Adulto 42 Br,buy_it_now,211.5,329.98,211.5,promotion,1,True,True,,Foz do Iguaçu,Paraná
MLB3618871821,new,Sapatilha Fiber Training,buy_it_now,169.9,186.71,169.9,promotion,250,True,True,1.0,Campo Bom,Rio Grande do Sul
MLB3206266730,new,Kit 3 Faixas Cabelo Suor Headband Corrida Esporte Testa Yoga,buy_it_now,28.86,39.0,28.86,promotion,250,True,True,0.85,Rio de Janeiro Zona Oeste,Rio de Janeiro
MLB3590019683,new,Tênis Esportivo Masculino Feminino Academia Novo + Relógio,buy_it_now,56.97,76.99,56.97,promotion,500,True,True,0.77,Perdigão,Minas Gerais
MLB3746608021,new,Tênis Corrida Galaxy 7 adidas,buy_it_now,211.19,399.99,211.19,promotion,1,True,True,0.9,Extrema,Minas Gerais
MLB1464164872,new,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,buy_it_now,71.01,78.9,71.01,promotion,500,True,True,0.66,Nova Serrana,Minas Gerais
MLB3450859321,new,Tênis Mizuno Wave Vitality 4 Color Preto - Adulto 41 Br,buy_it_now,229.99,,229.99,standard,500,True,True,,Jundiaí,São Paulo
MLB3667177353,new,Tênis Olympikus Eros Color Preto - Adulto 40 Br,buy_it_now,169.99,249.99,169.99,promotion,1,True,True,,São João da Boa Vista,São Paulo
MLB3815015649,new,Tênis Skechers Gorun Fast Color Marinho Escuro - Adulto 12 Us,buy_it_now,319.9,,319.9,standard,1,True,True,,São Paulo Zona Sul,São Paulo
MLB4498923378,new,Óculos Esportivo Ciclista Beach Tennis Proteção Uv Maratona Cor Da Armação Preta Cor Da Lente Incolor Transparente,buy_it_now,22.68,28.0,22.68,promotion,1,True,True,,Ribeirão Preto,São Paulo
MLB5046542234,new,Tenis Casual Knu Skool Black White Preto E Branco Lançamento,buy_it_now,160.74,267.9,160.74,promotion,500,True,True,0.9,São Caetano do Sul,São Paulo
MLB3536977858,new,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,buy_it_now,78.9,,78.9,standard,5000,True,True,0.63,Nova Serrana,Minas Gerais
MLB4611070644,new,Sapatilha Aquática Unissex Rio Pesca Praia Neoprene Flexível,buy_it_now,56.05,78.9,56.05,promotion,200,True,True,0.66,Franca,São Paulo
MLB4307012986,new,Combo Kit 2 Tenis Feminino Caminhada Treino Barato+relogio,buy_it_now,130.51,228.97,130.51,promotion,200,True,True,0.88,Franca,São Paulo
MLB3911513365,new,Tênis Asics Gel Nimbus 26 Masculino Azul E Branco,buy_it_now,1199.9,,1199.9,standard,1,True,True,0.9,Rio Claro,São Paulo
MLB3390758738,new,Tenis Masculino Unissex Botinha Corrida Academia Promoção,buy_it_now,71.01,78.9,71.01,promotion,250,True,True,0.77,Franca,São Paulo
MLB3220791484,new,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,buy_it_now,147.81,169.9,147.81,promotion,250,True,True,0.88,Nova Serrana,Minas Gerais
MLB3338422755,new,Tênis Feminino Academia Caminhada Leve Promoção Menina ,buy_it_now,61.9,69.9,61.9,promotion,500,True,True,0.7,Nova Serrana,Minas Gerais
MLB2744966615,new,Tenis Masculino Esportivo Caminhada Academia Corrida Malhar.,buy_it_now,54.15,78.99,54.15,promotion,200,True,True,0.77,Nova Serrana,Minas Gerais
MLB4174222978,new,Munhequeira Algodão Color Grande Wilson Tênis Unissex Cor Preto/ Branco,buy_it_now,47.73,50.25,47.73,promotion,1,True,True,,Peruíbe,São Paulo
MLB4965010090,new,Tênis Under Armour Charged Hit Color Preto/branco - Adulto 39 Br,buy_it_now,439.92,549.9,439.92,promotion,1,True,True,,Uberlândia,Minas Gerais
MLB5166832554,new,Tênis Olympikus Apolis Feminino Esporte Corrida Caminhada,buy_it_now,169.98,298.21,169.98,promotion,100,True,True,0.88,São Paulo Zona Oeste,São Paulo
